,importances_mean,importances_std
length,0.217225,0.004243558213071803
n_ns,0.09082499999999999,0.002817432041819104
life_time,0.07752812499999999,0.0030209095557534706
n_constant_chars,0.045115625,0.0024875128064610827
vowel_ratio,0.03806562499999999,0.0022076922355136275
n_vowel_chars,0.030825,0.0018090512932196687
n_mx,0.029209375000000003,0.002124545543026005
mean_TTL,0.02830312499999999,0.0012711533543237692
js_comparison_average,0.02781562499999999,0.0017511045639976186
active_time,0.026184375,0.002284006325651828
entropy,0.025262499999999993,0.001762904647458393
num_ratio,0.024959374999999995,0.001583647046888696
js_comparison_max,0.02314062499999999,0.0017064658955728324
n_vowels,0.021212499999999992,0.0014131318470279929
ns_similarity,0.018731249999999998,0.0018285482154700744
vowel_constant_convs,0.018596874999999995,0.0015946048646121977
n_constants,0.01842499999999999,0.0018410812640430034
n_labels,0.018168749999999997,0.0016244574446559932
n_ip,0.01804999999999999,0.00177257362210667
alpha_numer_convs,0.017678124999999996,0.0010898772212953412
stdev_TTL,0.017671874999999983,0.0013108604459888978
n_nums,0.014203124999999997,0.0012499605252298048
get_html_id_class_rate,0.011903124999999992,0.0016651737069815122
n_js_function,0.011534374999999989,0.0013150772154631282
js_comparison_min,0.008674999999999992,0.0011182857532795786
n_css_selectors,0.007603124999999994,0.0007700708595011994
max_consecutive_chars,0.0075593749999999975,0.001077343538687961
n_other_chars,0.0066812499999999945,0.0009096980107422568
html_id_class_num,0.004965624999999999,0.0011071469260813668
rv,0.0037999999999999944,0.0010200279151911112
n_ptr,0.0017999999999999926,0.0006311790574407032
n_countries,0.0003406249999999899,0.0002580356820157809
