label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv
1,6,2,0.333333,2,3,3,0.8,1,0.166667,0.2,0,1,2.58496,0,0,0,0,0,0,0,0,0,0,0,9.74635
1,4,0,0,0,3,3,0,1,0.25,0.333333,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1.73697
1,8,1,0.125,1,3,3,0.333333,3,0.375,0.166667,0,1,3,1,0,1,0,0,1,14399.7,0.471405,2047,0,0,10.8511
1,7,1,0.142857,1,4,4,0.4,1,0.142857,0.2,0,1,2.80735,1,2,1,6,0.83323,1,3599.67,0.471405,0,0,0,8.46489
1,7,0,0,0,0,0,0,7,1,0,0,0,2.23593,1,0,0,2,1,1,599.667,0.471405,1803,1096,732,2.94971
1,8,1,0.125,1,4,3,0.285714,3,0.375,0.142857,0,2,2.5,0,0,0,0,0,0,0,0,0,0,0,24.7927
1,19,0,0,0,0,0,0,15,0.789474,0,3,1,3.11583,0,0,0,0,0,0,0,0,0,0,0,7.05889
1,20,0,0,0,0,0,0,16,0.8,0,3,1,3.06596,0,0,0,0,0,0,0,0,0,0,0,8.28129
1,20,0,0,0,0,0,0,16,0.8,0,3,1,3.08418,0,0,0,0,0,0,0,0,0,0,0,7.47393
1,20,0,0,0,0,0,0,16,0.8,0,3,1,3.10869,0,0,0,0,0,0,0,0,0,0,0,12.8071
1,23,2,0.0869565,2,5,4,0.190476,12,0.521739,0.047619,3,1,3.5014,2,0,1,0,0,2,2399.67,1696.82,260,1461,388,7.66218
1,36,9,0.25,3,21,8,0.470588,5,0.138889,0.147059,0,1,3.70245,2,0,1,0,0,2,599.667,0.471405,5,365,106,58.3024
1,14,5,0.357143,3,7,6,0.538462,2,0.142857,0.0769231,0,1,3.37878,1,2,1,2,1,1,599.667,0.471405,17,4018,1750,119.464
1,6,1,0.166667,1,3,2,0.4,2,0.333333,0.2,0,1,2.25163,1,2,1,6,0.838964,1,599.667,0.471405,4,0,0,10.0969
1,26,2,0.0769231,1,9,6,0.173913,11,0.423077,0.130435,2,2,3.67141,1,0,1,0,0,1,1799.67,0.471405,31,0,0,73.9203
1,19,6,0.315789,4,10,9,0.470588,2,0.105263,0.0588235,0,2,3.82687,1,0,0,0,0,1,64799.7,30547.5,0,0,0,47.6054
1,3,0,0,0,1,1,0,2,0.666667,0.5,0,1,0.918296,1,1,1,3,0.82069,1,3600,0,68,0,0,0
1,8,0,0,0,5,1,0,3,0.375,0.142857,0,5,1.29879,0,0,0,0,0,0,0,0,0,0,0,5.4675
