,importances_mean,importances_std
length,0.186528125,0.003313786290177692
n_ns,0.083496875,0.0026309991930747786
life_time,0.06864062500000001,0.002975241029032595
n_constant_chars,0.033865624999999996,0.0023455367791836426
mean_TTL,0.024978125000000007,0.0013129291013057915
vowel_ratio,0.02334375,0.002008633954309631
n_mx,0.023212499999999994,0.0020503427068547368
num_ratio,0.022796875,0.0013379303124021913
active_time,0.022415625,0.0015547268788575987
n_constants,0.020090624999999994,0.0015029373570476534
n_nums,0.01903125,0.0015539965442239385
n_labels,0.017293750000000004,0.0017916854829900756
js_comparison_average,0.016325,0.0015742791845859943
ns_similarity,0.015937500000000004,0.0012951109652975495
stdev_TTL,0.015709374999999998,0.0014248231887591602
n_vowel_chars,0.015253124999999996,0.0015598644704374472
entropy,0.014759375000000009,0.0018371121580302394
js_comparison_max,0.01444375,0.0016796617976096296
n_ip,0.014265624999999999,0.001793696494853708
vowel_constant_convs,0.011259375,0.0014840152962242066
n_vowels,0.010974999999999993,0.0016634403484188398
n_js_function,0.010940624999999994,0.0013142536061137005
alpha_numer_convs,0.009968749999999995,0.0009309631670200765
js_comparison_min,0.00730625,0.0011328054125203646
get_html_id_class_rate,0.006228125000000006,0.001220805116565952
n_css_selectors,0.004565624999999992,0.0009175966092869988
max_consecutive_chars,0.004390625000000007,0.001108853619169977
n_other_chars,0.004290624999999994,0.0007688124771488869
html_id_class_num,0.003678125000000001,0.0009064180524452787
rv,0.002571875000000008,0.0011165548041620153
n_ptr,0.0016312500000000018,0.0006216213706655144
n_countries,0.0002843750000000034,0.0002411796121454326
