,importances_mean,importances_std
n_ns,0.06821250000000004,0.0023855657946929287
length,0.05466875000000003,0.002105423704747369
life_time,0.027090625000000017,0.001734613180992401
active_time,0.02165625000000003,0.0020368067083179047
n_mx,0.018653125000000027,0.001806189470943316
mean_TTL,0.011787500000000029,0.0010174598929732794
vowel_ratio,0.009684375000000028,0.0021263990175255042
n_labels,0.009471875000000034,0.0013835417446482787
n_ip,0.009087500000000026,0.0015646490417806295
js_comparison_max,0.008962500000000026,0.0014091417877876774
n_js_function,0.008743750000000024,0.0013483118383718195
num_ratio,0.008071875000000027,0.0011504608550754031
stdev_TTL,0.007575000000000031,0.0010563245565824394
js_comparison_average,0.006925000000000033,0.0014624500742538146
ns_similarity,0.004934375000000031,0.001608874013731722
vowel_constant_convs,0.00470000000000002,0.0014225605499894921
n_nums,0.004606250000000028,0.001041133675821601
n_vowel_chars,0.0041156250000000255,0.001574969779680912
n_css_selectors,0.003359375000000014,0.0008368661347481598
js_comparison_min,0.0029312500000000345,0.0008064811407002277
html_id_class_num,0.002856250000000027,0.0007026009776034993
get_html_id_class_rate,0.0012500000000000354,0.001247560059195137
alpha_numer_convs,0.0010875000000000368,0.0008412751601247763
n_ptr,0.0007468750000000268,0.0004981502942743412
n_countries,0.00035000000000003025,0.00018324769928128388
n_other_chars,-0.0003218749999999715,0.0007887266264348014
n_constants,-0.0007281249999999704,0.001444354482291281
n_vowels,-0.0009093749999999722,0.001329339097822452
max_consecutive_chars,-0.0011187499999999796,0.0013005680676846704
n_constant_chars,-0.0018624999999999736,0.0017760681683118163
entropy,-0.0020156249999999697,0.0011439689351829792
rv,-0.005043749999999974,0.0011775740995017393
