,importances_mean,importances_std
length,0.21554687499999997,0.0037274404366930422
n_ns,0.095125,0.003141959924101435
life_time,0.08415625000000004,0.002721324895597813
n_constant_chars,0.04428437500000003,0.0022904730876619527
vowel_ratio,0.040146875000000026,0.002417288613936143
active_time,0.03577812500000003,0.0022452170949972755
n_constants,0.032931250000000016,0.002307778070580595
n_mx,0.03174062500000002,0.002012792920536975
js_comparison_average,0.030625000000000024,0.0022214923173121915
mean_TTL,0.027918750000000027,0.0014307192706155634
num_ratio,0.027634375000000027,0.0016589352182551406
n_vowel_chars,0.026146875000000024,0.00166278386074714
entropy,0.025971875000000026,0.001873268950483385
n_nums,0.024609375000000027,0.0013436847538524734
n_vowels,0.024568750000000018,0.0014863882694008512
js_comparison_max,0.024484375000000013,0.0018898889148890555
ns_similarity,0.02243125000000002,0.0014639321337006858
vowel_constant_convs,0.021162500000000035,0.001594793892863328
n_ip,0.01917500000000002,0.0022050110305245007
n_labels,0.018606250000000026,0.001418282665130746
stdev_TTL,0.01810000000000003,0.0012450398252807752
alpha_numer_convs,0.01568437500000002,0.001272666392810908
n_js_function,0.012884375000000009,0.0015299871116192952
get_html_id_class_rate,0.012425000000000025,0.0013560106312452255
js_comparison_min,0.010121875000000023,0.001188522669751212
max_consecutive_chars,0.00855625000000003,0.0009844325113180573
n_css_selectors,0.007759375000000024,0.001071268422331941
n_other_chars,0.007246875000000022,0.0012630316400380817
rv,0.006934375000000022,0.0013984633113671425
html_id_class_num,0.004375000000000018,0.0009639972366311123
n_ptr,0.0019750000000000227,0.0004974987131204265
n_countries,0.0003125000000000266,0.00026090953975612405
