,importances_mean,importances_std
length,0.151609375,0.0033042712725716112
n_ns,0.08027500000000001,0.0034446161681154315
life_time,0.05348750000000001,0.0026278273153754403
mean_TTL,0.022387500000000005,0.0011388515181898543
n_mx,0.021634375000000008,0.001967587871078083
active_time,0.019346875000000006,0.0015091273457728566
n_constant_chars,0.01913750000000001,0.00197523212571334
vowel_ratio,0.015909375000000003,0.0020030233943776976
stdev_TTL,0.013887500000000011,0.001159617768851114
num_ratio,0.013384375000000007,0.00130427031780232
n_labels,0.013103125000000012,0.0016250318890167945
n_nums,0.012040625000000008,0.001420591211188088
n_ip,0.011568749999999997,0.0015360330885567405
vowel_constant_convs,0.0111625,0.0013822516820688503
ns_similarity,0.010553125,0.001385473879833146
js_comparison_average,0.009893750000000014,0.001621619630870386
js_comparison_max,0.008659375000000007,0.0013132006290274285
n_vowel_chars,0.008625000000000015,0.0020794793596885823
n_constants,0.008015625000000005,0.001766744743007848
n_js_function,0.007918749999999999,0.0013817485198140275
n_vowels,0.007590625000000009,0.0015761438608232886
alpha_numer_convs,0.006721875000000011,0.000978790409919791
entropy,0.004975000000000012,0.0017226666254613588
n_css_selectors,0.0038968750000000067,0.0010092239518351654
js_comparison_min,0.003684375000000006,0.001262465691748566
get_html_id_class_rate,0.003303125000000011,0.001206981844481946
html_id_class_num,0.0017781250000000082,0.0007496611790055979
max_consecutive_chars,0.0015218750000000037,0.0012235937909712666
n_ptr,0.0009500000000000018,0.0005184506172312532
n_other_chars,0.0007781250000000052,0.0008233556299460622
n_countries,4.062500000001411e-05,0.00012394572228625753
rv,-0.0007187499999999948,0.0010944955458078256
