,importances_mean,importances_std
length,0.20793124999999998,0.0040211643698324015
life_time,0.10006249999999998,0.0030504965278970024
n_ns,0.09632187499999999,0.0031668677902485856
n_constant_chars,0.046403124999999996,0.0030220984253537912
vowel_ratio,0.040653125,0.002241403126919635
entropy,0.03608124999999999,0.0019397984320975257
n_vowel_chars,0.031474999999999996,0.002003024856881464
active_time,0.031059375,0.001898943330896169
n_mx,0.030965624999999986,0.0019381739130097625
js_comparison_average,0.029206249999999996,0.0019109009640685154
mean_TTL,0.029081249999999993,0.0012366971268881134
js_comparison_max,0.028728124999999986,0.001922324336632549
n_constants,0.02855,0.0017870656515803483
ns_similarity,0.026040625,0.0020432011749560645
num_ratio,0.025853124999999998,0.0018060965753658956
n_vowels,0.02353124999999999,0.0018833813452310364
n_ip,0.02340937499999999,0.0018424884515518658
n_labels,0.021681249999999985,0.0016098364437356187
vowel_constant_convs,0.02143437499999999,0.001427298717925031
alpha_numer_convs,0.02004062499999999,0.001128012177694058
stdev_TTL,0.018893749999999994,0.001211314206022066
n_nums,0.018378124999999985,0.001452559611031824
get_html_id_class_rate,0.01512187499999999,0.0013856314213652712
n_js_function,0.01477812499999999,0.0013883637715475239
js_comparison_min,0.011746874999999988,0.0012188576372010873
max_consecutive_chars,0.010156249999999997,0.001347241934090943
n_css_selectors,0.008978124999999993,0.0011521984603584056
n_other_chars,0.008059374999999994,0.0008681510110286747
rv,0.007781249999999988,0.0012628445570593064
html_id_class_num,0.006171874999999986,0.0009716041256851391
n_ptr,0.002021874999999995,0.000646816895563112
n_countries,0.0003218749999999826,0.00024470651804121623
