,importances_mean,importances_std
length,0.230734375,0.004294789294572661
n_ns,0.10420000000000003,0.0028790951263325776
life_time,0.10030625000000004,0.0037553210218070404
n_constant_chars,0.054171875000000015,0.002711763284543503
entropy,0.049046875000000024,0.0023394344792959714
n_vowel_chars,0.044140625000000024,0.002069614979368626
vowel_ratio,0.039534375000000024,0.0019181116001144357
n_constants,0.038200000000000026,0.001963992230621661
n_mx,0.03559687500000003,0.002309443699146286
active_time,0.03366875000000003,0.0023761426980883735
mean_TTL,0.03016250000000003,0.0012224667808532121
js_comparison_average,0.03006250000000003,0.0019314722954989517
js_comparison_max,0.02987187500000003,0.0019769030398988073
n_vowels,0.029456250000000038,0.0017141240063979876
ns_similarity,0.02845000000000003,0.0017039370163930954
num_ratio,0.027796875000000033,0.001311309366119897
n_nums,0.026484375000000025,0.0012130300158922878
n_ip,0.023225000000000023,0.002045189305244068
alpha_numer_convs,0.023112500000000036,0.0010756805855572401
vowel_constant_convs,0.02188125000000003,0.0012768576336555347
n_labels,0.021584375000000034,0.0019492541638217935
get_html_id_class_rate,0.01932812500000004,0.001485985300880853
stdev_TTL,0.018993750000000025,0.00116983204486079
n_js_function,0.015156250000000027,0.0016428195505027755
js_comparison_min,0.012837500000000024,0.0012319980068689121
max_consecutive_chars,0.01203437500000003,0.0012933485512825096
n_css_selectors,0.009743750000000034,0.000913589056783618
n_other_chars,0.009153125000000022,0.0010356809957519607
rv,0.00910000000000003,0.0014693205664658223
html_id_class_num,0.006553125000000023,0.0012744176304601714
n_ptr,0.0019656250000000264,0.00045672373282497206
n_countries,0.000450000000000026,0.00020521898332588034
