label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv,n_css_selectors,html_id_class_num,get_html_id_class_rate,n_js_function,js_comparison_average,js_comparison_max,js_comparison_min
1,10,7,0.7,4,3,3,0.555556,0,0,0,0,1,2.64644,1,1,1,2,1,1,14400,0,328,4018,3630,33.115,0,95,94.0594,32,0.253869,0.617066,-0.109329
1,9,5,0.555556,2,4,2,1,0,0,0,0,1,1.97494,1,1,1,2,1,1,14400,0,2,6574,6205,61.4519,0,0,0,0,0,0,0
1,15,9,0.6,5,6,5,0.571429,0,0,0,0,2,3.13957,0,0,0,0,0,0,0,0,0,0,0,111.038,0,0,0,0,0,0,0
1,16,7,0.4375,4,9,6,0.466667,0,0,0,0,1,3.25,1,2,1,2,1,1,10800,0,20,365,0,122.036,22,8,100,0,0,0,0
1,4,0,0,0,4,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,-0.584963,0,0,0,0,0,0,0
1,27,8,0.296296,4,15,8,0.56,3,0.111111,0.16,0,2,3.81008,0,0,0,0,0,0,0,0,0,2191,1891,173.193,0,0,0,0,0,0,0
1,11,5,0.454545,4,6,5,0.9,0,0,0,0,1,3.0958,1,6,0,2,1,1,900,0,29,2191,1826,52.7724,0,9,90,0,0,0,0
1,6,3,0.5,2,3,3,0.6,0,0,0,0,1,2.25163,1,1,1,2,1,1,14400,0,10,0,0,7.5025,0,1,100,0,0,0,0
1,27,6,0.222222,4,15,8,0.48,5,0.185185,0.08,0,2,3.94007,0,0,0,0,0,0,0,0,0,2191,1891,167.872,0,0,0,0,0,0,0
1,14,6,0.428571,3,8,5,0.769231,0,0,0,0,2,2.89629,1,3,1,2,1,1,3600,0,0,365,0,121.859,0,0,0,0,0,0,0
1,10,4,0.4,3,6,5,0.888889,0,0,0,0,1,2.92193,0,0,0,0,0,0,0,0,0,0,0,29.5726,0,0,0,0,0,0,0
1,10,4,0.4,2,6,4,0.666667,0,0,0,0,1,2.52193,0,0,0,0,0,0,0,0,0,0,0,58.2151,0,0,0,0,0,0,0
1,9,2,0.222222,2,7,7,0.5,0,0,0,0,1,3.16993,0,0,0,0,0,0,0,0,0,0,0,45.0268,0,0,0,0,0,0,0
1,9,4,0.444444,3,5,5,0.625,0,0,0,0,1,2.9477,1,2,0,4,0.741534,1,3600,0,8,1096,732,39.5854,0,0,0,82,5.54822,5.54822,5.54822
1,9,3,0.333333,3,3,3,0.375,3,0.333333,0.125,0,1,2.9477,1,1,1,3,0.848485,1,600,0,162,6574,6209,56.556,0,46,65.7143,3438,3.70014,3.70014,3.70014
1,14,5,0.357143,3,8,6,0.583333,0,0,0,0,2,3.18201,0,0,0,0,0,0,0,0,0,6209,4205,42.1116,0,0,0,0,0,0,0
1,15,4,0.266667,3,10,8,0.461538,0,0,0,0,3,3.45656,1,1,1,2,1,1,600,0,361,2922,2497,105.799,0,0,0,0,0,0,0
1,9,2,0.222222,1,7,5,0.5,0,0,0,0,1,2.41938,0,0,0,0,0,0,0,0,0,0,0,50.1135,0,0,0,0,0,0,0
1,12,5,0.416667,3,7,6,0.636364,0,0,0,0,1,3.08496,0,0,0,0,0,0,0,0,0,0,0,72.1184,0,0,0,0,0,0,0
