,importances_mean,importances_std
length,0.2029,0.003195184396983827
n_ns,0.08955000000000002,0.002856760134284168
life_time,0.071828125,0.003095060702356219
n_constant_chars,0.03985000000000001,0.002309523593127365
vowel_ratio,0.034084375000000014,0.0019919361700058117
n_vowel_chars,0.025059375000000016,0.0017524385894466005
active_time,0.02487812500000002,0.001981750097014891
n_mx,0.024768750000000023,0.0019462379296398967
mean_TTL,0.02407187500000002,0.0015852563950326584
js_comparison_max,0.022093750000000016,0.0019702981922233116
entropy,0.02144375000000002,0.0019836279562656647
num_ratio,0.020953125000000017,0.0016373233493965002
n_constants,0.019275000000000014,0.0016891801336223662
n_labels,0.019081250000000015,0.0013053433269350797
n_ip,0.018831250000000004,0.0018481475998284405
n_nums,0.01852500000000002,0.0014155376501012243
js_comparison_average,0.017303125000000016,0.0014189620507990802
vowel_constant_convs,0.016668750000000017,0.0015871406446442843
ns_similarity,0.016612500000000023,0.0014853559078736038
stdev_TTL,0.01644687500000002,0.0013255046350527174
n_vowels,0.014000000000000016,0.00172246471997436
alpha_numer_convs,0.012743750000000015,0.001174433700585758
n_js_function,0.009893750000000012,0.0011349951202195537
get_html_id_class_rate,0.009009375000000014,0.0014652192933818993
js_comparison_min,0.007481250000000024,0.0011677296941315783
max_consecutive_chars,0.005693750000000017,0.0010903080141527182
n_css_selectors,0.005506250000000013,0.0009713306206179581
n_other_chars,0.005359375000000011,0.0010887821917307686
html_id_class_num,0.00382812500000002,0.0010413948914777549
rv,0.00341562500000002,0.0013360645525513468
n_countries,0.003281250000000011,0.00046954029826474657
n_ptr,0.0010562500000000229,0.0004372644981152366
