,importances_mean,importances_std
length,0.20358125,0.0032511221739249807
n_ns,0.08798750000000001,0.00313875973160717
life_time,0.06291875000000001,0.0025466190085940248
n_constant_chars,0.04138750000000001,0.001904018774704508
vowel_ratio,0.03432500000000001,0.0022777289552439518
mean_TTL,0.028303125000000002,0.0011859666607205888
n_mx,0.02626250000000001,0.002394223739013128
active_time,0.02536250000000001,0.0020164649669610376
num_ratio,0.024337500000000005,0.0013247098454384056
js_comparison_average,0.021750000000000005,0.0019112196482288118
js_comparison_max,0.021737500000000014,0.0016557793069765878
entropy,0.020737500000000002,0.001995807060065403
ns_similarity,0.019259375000000006,0.0013186147009212918
n_vowel_chars,0.01922812500000001,0.002054688680566634
stdev_TTL,0.018653125000000003,0.0011730495264660656
vowel_constant_convs,0.016909375000000008,0.00165762813730531
n_labels,0.016196875000000006,0.0014796655965665395
n_ip,0.016143750000000012,0.0016532088915475363
n_nums,0.015787500000000017,0.001524796270630995
n_vowels,0.014450000000000015,0.0018131471337693144
n_constants,0.01412812500000001,0.0017355661503657017
alpha_numer_convs,0.010175000000000003,0.0008999067404812276
n_js_function,0.00991875000000001,0.001344342044949366
js_comparison_min,0.008043750000000007,0.0011038998584974675
get_html_id_class_rate,0.007693750000000004,0.0012881348301318324
max_consecutive_chars,0.006503125000000012,0.0011421835293173358
n_other_chars,0.006334375000000001,0.0010751296851043725
n_css_selectors,0.0060312500000000106,0.000888762537309092
html_id_class_num,0.004400000000000008,0.0011192935040113508
rv,0.002637500000000008,0.00117648445527633
n_ptr,0.0010437500000000054,0.0006907919926748783
n_countries,0.00034062500000001886,0.00018495891111696645
