,importances_mean,importances_std
length,0.197190625,0.0036819204358791943
n_ns,0.08788437499999999,0.002818980089356832
life_time,0.06773749999999998,0.002508315779560319
n_constant_chars,0.03583124999999999,0.0022079394101730413
vowel_ratio,0.028931249999999985,0.0023159211109943347
n_mx,0.026009374999999984,0.0016685660105105256
active_time,0.025703124999999976,0.0020974941571418318
mean_TTL,0.02472499999999999,0.001506062638744967
entropy,0.019731249999999975,0.0017469606381155002
n_vowel_chars,0.019453124999999984,0.0019516811083995667
js_comparison_average,0.01849374999999999,0.0018263360021122071
js_comparison_max,0.017209374999999992,0.001322407203843809
num_ratio,0.017196874999999983,0.0012351741709387717
n_labels,0.017187499999999984,0.0015736006372069281
stdev_TTL,0.01665312499999999,0.001232489050007561
n_nums,0.01663437499999999,0.0011315677966717273
vowel_constant_convs,0.01654999999999999,0.0016872462208734848
ns_similarity,0.016093749999999983,0.0014138700506987714
n_ip,0.015681249999999983,0.001563692842859862
n_constants,0.015581249999999982,0.0018569116808890625
n_vowels,0.013740624999999989,0.0014893278427551427
alpha_numer_convs,0.011131249999999985,0.000992448212370029
n_js_function,0.010381249999999995,0.0014765620441081872
get_html_id_class_rate,0.008234374999999993,0.0014756238198793796
js_comparison_min,0.006534374999999979,0.0010847972115861492
n_css_selectors,0.00584374999999999,0.0008509110316923758
max_consecutive_chars,0.005521874999999992,0.0009690284132628102
n_other_chars,0.00528749999999998,0.0009380566405309702
html_id_class_num,0.0037156249999999802,0.0009635960914457784
rv,0.002737499999999984,0.001398733072096744
n_ptr,0.0007187499999999902,0.000639807704328702
n_countries,0.0002781249999999913,0.00019805104803628115
